地名,センター,もえるごみ,もえないごみ,容器包装・資源ごみ,粗大ごみ
潟端,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160402 20160507 20160604 20160702 20160806 20160903 20161001 20161105 20161203 20170107 20170204 20170304,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
浅田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160402 20160507 20160604 20160702 20160806 20160903 20161001 20161105 20161203 20170107 20170204 20170304,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
浅谷,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160402 20160507 20160604 20160702 20160806 20160903 20161001 20161105 20161203 20170107 20170204 20170304,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
川尻,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
中橋,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
五反田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
中須加,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
井上の荘,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
舟橋,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
加茂,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
能瀬,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
領家,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
谷内,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
御門,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
御門出町,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
下矢田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
上矢田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
中山,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
種,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
小熊,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
池ヶ原,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
興津,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
菩提寺,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
平野,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
上大田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
下河合,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
上河合,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
瓜生,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
牛首,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
木窪,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
大熊,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
八ノ谷,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160409 20160514 20160611 20160709 20160813 20160910 20161008 20161112 20161210 20170114 20170211 20170311,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
